_repaired_record,address.administrative_area,address.country,address.locality,address.other_localities,address.other_postal_codes,address.other_streets,address.postal_code,address.street,field_office.address.administrative_area,field_office.address.country,field_office.address.locality,field_office.address.postal_code,field_office.address.street,field_office.aor,field_office.email,field_office.field_office,field_office.id,field_office.name,field_office.source_urls,field_office.phone,facility_type.id,facility_type.description,facility_type.expanded_name,inspection.last_type,inspection.last_date,inspection.last_rating,inspection.details.0.date,inspection.details.0.url,inspection.details.0.text,image_url,osm.latitude,osm.longitude,osm.url,name,other_names,other_phones,page_updated_date,phone,population.avg_stay_length,population.female.allowed,population.female.criminal,population.female.non_criminal,population.male.allowed,population.male.criminal,population.male.non_criminal,population.housing.mandatory,population.housing.guaranteed_min,population.ice_threat_level.level_1,population.ice_threat_level.level_2,population.ice_threat_level.level_3,population.ice_threat_level.none,population.security_threat.low,population.security_threat.medium_low,population.security_threat.medium_high,population.security_threat.high,population.total,source_urls,vera_id,wikipedia.page_url,wikidata.page_url
false,TX,United States,Anson,"","","",79501,400 2nd Street,TX,United States,Dallas,75247,8101 N. Stemmons Frwy,"North Texas, Oklahoma",Dallas.Outreach@ice.dhs.gov,Dallas Field Office,DAL,Dallas - ERO,https://www.ice.gov/contact/field-offices?page=1&exposed_form_display=1,(972) 367-2200,DIGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Intergovernmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,Office of Detention Oversight,2024-12-12 00:00:00,Pass,"Feb. 8-12, 2021","","",https://www.ice.gov/sites/default/files/images/detention/bluebonnet.jpg,32.7667663,-99.8888312,https://www.openstreetmap.org/way/1385661495,BLUEBONNET DETENTION FACILITY,"","",2025-12-16T13:22:28.000000+0000,"",21.313902502,true,8.606299,121.76378,true,239.23622,656.417323,546.401575,750,126.464567,79.614173,109.590551,710.35433,587.102362,133.858268,202.141732,102.92126,239.23622656.4173238.606299121.76378,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/bluebonnet-detention-facility","",https://en.wikipedia.org/wiki/Bluebonnet_Detention_Center,""
false,KY,United States,Burlington,"","","",41005,3020 Conrad Lane,IL,United States,Chicago,60605,101 W Ida B Wells Drive Suite 4000,"Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",Chicago.Outreach@ice.dhs.gov,Chicago Field Office,CHI,Chicago - ERO,https://www.ice.gov/contact/field-offices?page=1&exposed_form_display=1,(872) 351-3990,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Office of Detention Oversight,2024-11-21 00:00:00,Pass,"Jun. 17-19, 2014","","",https://www.ice.gov/sites/default/files/images/detention/booneky.jpg,39.0373257,-84.7236669,https://www.openstreetmap.org/way/16094451,BOONE COUNTY JAIL,"","",2025-12-16T13:22:35.000000+0000,"",54.118421053,true,0.748031,4.771654,true,89.488189,106.590551,118.929134,0,40.425197,34.622047,29.637795,96.913385,83.732283,31.007874,49.425197,37.433071,89.488189106.5905510.7480314.771654,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/boone-county-jail","",https://en.wikipedia.org/wiki/Boone_County_Jail,https://www.wikidata.org/wiki/Q4943617
true,NY,United States,Brooklyn,"","",80 29th Street,11232,100 29th Street,NY,United States,New York,10278,"26 Federal Plaza 9th Floor, Suite 9-110","The five boroughs (counties of NYC) and the following counties: Duchess, Nassau, Putnam, Suffolk, Sullivan, Orange, Rockland, Ulster, and Westchester",NewYork.Outreach@ice.dhs.gov,New York City Field Office,NYC,New York - ERO,https://www.ice.gov/contact/field-offices?page=4&exposed_form_display=1,(212) 436-9315,BOP,A facility operated by the Federal Bureau of Prisons,Federal Bureau of Prisons,"",,"",,,,https://www.ice.gov/sites/default/files/2025-06/detFacMDC_Brooklyn.jpg,40.6597866,-74.0029582,https://www.openstreetmap.org/way/5676910,BROOKLYN MDC,"","",2025-12-17T01:54:40.000000+0000,"",51.741784038,true,0,0,true,24.370078,89.244094,41.929134,0,2.968504,11.692913,12.858268,86.094488,93.740157,19.23622,0.338583,0.299213,24.37007889.24409400,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=4&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/mdc-brooklyn","",https://en.wikipedia.org/wiki/Metropolitan_Detention_Center%2C_Brooklyn,""
false,NY,"",BINGHAMTON,"","","",13905,897 FRONT STREET,NY,United States,Buffalo,14202,"250 Delaware Avenue, Floor 7",Upstate New York,Buffalo.Outreach@ice.dhs.gov,Buffalo Field Office,BUF,Buffalo - ERO,https://www.ice.gov/contact/field-offices?page=0&exposed_form_display=1,(716) 464-5800,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,,Scheduled FY26,,,,,"",42.1309109,-75.9136911,https://www.openstreetmap.org/?mlat=42.1309109&mlon=-75.9136911,BROOME COUNTY JAIL,"","",,"",50.53,true,0,0,true,2.566929,43.637795,16.543307,,1.102362,0.07874,3.929134,41.094489,41.897638,2.141732,1.228346,0.937008,2.56692943.63779500,https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,"",https://en.wikipedia.org/wiki/List_of_immigrant_detention_sites_in_the_United_States,""
false,FL,"",FT.LAUDERDALE,"","","",33301,555 SE 1ST AVENUE,FL,United States,Miramar,33027,2805 SW 145th Ave,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,Miramar Sub Office,MIA,Miramar - ERO,https://www.ice.gov/contact/field-offices?page=4&exposed_form_display=1,(954) 843-5800,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,,,,,,,"",26.1162336,-80.1423181,https://www.openstreetmap.org/way/1103247720,BROWARD COUNTY JAIL,"","",,"",1.029761905,true,0.070866,0.653543,true,0.393701,1.669291,1.055118,,0.338583,0.094488,0.125984,2.228346,0.661417,0.440945,1.07874,0.606299,0.3937011.6692910.0708660.653543,https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,"",https://en.wikipedia.org/wiki/Sean_Kingston,""
true,FL,United States,Pompano Beach,"","",3900 N. Powerline Road,33073,3900 NORTH POWERLINE ROAD,FL,United States,Miramar,33027,2805 SW 145th Ave,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,Miramar Sub Office,MIA,Miramar - ERO,https://www.ice.gov/contact/field-offices?page=4&exposed_form_display=1,(954) 843-5800,CDF,Name derived from listing at https://www.vera.org/ice-detention-trends,Contract Detention Facility,Office of Detention Oversight,2024-12-19 00:00:00,Pass,"Mar. 8-10, 2016","","",https://www.ice.gov/assets/pages/detention/facilities/broward.jpg,26.2772767,-80.1509053,https://www.openstreetmap.org/way/1426433977,BROWARD TRANSITIONAL CENTER,"","",2026-02-04T05:08:22.000000+0000,"",21.434469815,true,7.425197,93.433071,true,63.094488,517.393701,327.440945,700,13.645669,22.88189,56.338583,588.480315,488.84252,177.370079,10.094488,5.03937,63.094488517.3937017.42519793.433071,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/broward-transitional-center","",https://en.wikipedia.org/wiki/Broward_Transitional_Center,https://www.wikidata.org/wiki/Q14685834
false,NY,United States,Batavia,"","","",14020,4250 Federal Drive,NY,United States,Buffalo,14202,"250 Delaware Avenue, Floor 7",Upstate New York,Buffalo.Outreach@ice.dhs.gov,Buffalo Field Office,BUF,Buffalo - ERO,https://www.ice.gov/contact/field-offices?page=0&exposed_form_display=1,(716) 464-5800,SPC,A facility owned by the government and staffed by a combination of federal and contract employees.,Service Processing Center,Office of Detention Oversight,2024-10-31 00:00:00,Pass,"Apr. 26-29, 2021 (follow-up)","","",https://www.ice.gov/sites/default/files/images/detention/btv.jpg,43.0203148,-78.2016158,https://www.openstreetmap.org/way/566791882,BUFFALO SERVICE PROCESSING CENTER,"","",2025-12-16T13:23:40.000000+0000,"",37.282467532,false,0,0.007874,true,124.102362,620.590551,246.787402,650,90.007874,22.598425,37.007874,595.086614,589.472441,48.88189,44.606299,61.740157,124.102362620.59055100.007874,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/buffalo-batavia-service-processing-center","",https://en.wikipedia.org/wiki/List_of_immigrant_detention_sites_in_the_United_States,""
true,ND,"",BISMARCK,"","","",58502,PO BOX 1416,MN,United States,Fort Snelling,55111,1 Federal Drive Suite 1601,"Iowa, Minnesota, Nebraska, North Dakota, South Dakota",StPaul.Outreach@ice.dhs.gov,St Paul Field Office,SPM,Fort Snelling - ERO,https://www.ice.gov/contact/field-offices?page=2&exposed_form_display=1,(612) 409-7799,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,PRE-OCC,2025-02-26 00:00:00,,,,,"",46.8083270,-100.7837390,https://www.openstreetmap.org/?mlat=46.8083270&mlon=-100.7837390,BURLEIGH COUNTY JAIL,BURLEIGH COUNTY,"",,"",26.307692308,true,0.007874,0.96063,true,2.425197,13.433071,6.905512,,1.456693,0.700787,0.984252,13.685039,4.598425,6.913386,4.637795,0.677165,2.42519713.4330710.0078740.96063,https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,"",https://en.wikipedia.org/wiki/List_of_immigrant_detention_sites_in_the_United_States,""
false,OH,United States,Hamilton,"","","",45011,705 Hanover Street,MI,United States,Detroit,48226,985 Michigan Avenue Suite 207,"Michigan, Ohio",Detroit.Outreach@ice.dhs.gov,Detroit Field Office,DET,Detroit - ERO,https://www.ice.gov/contact/field-offices?page=1&exposed_form_display=1,(313) 771-6601,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Operational Review Self-Assessment,2025-02-21 00:00:00,Fail,"Apr. 28-30, 2015","","",https://www.ice.gov/sites/default/files/images/detFacButler.png,39.3881265,-84.5558800,https://www.openstreetmap.org/way/204237109,BUTLER COUNTY JAIL,"","",2025-12-16T13:23:46.000000+0000,"",30.851534618,true,4.141732,22.212598,true,59.921259,276.110236,201.566929,0,23.511811,16.897638,38.606299,283.370078,150.480315,158.858268,39.992126,13.055118,59.921259276.1102364.14173222.212598,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/butler-county-sheriffs-office","",https://en.wikipedia.org/wiki/List_of_immigrant_detention_sites_in_the_United_States,""
true,MI,United States,Battle Creek,"","",185 E. Michigan Street,49014,185 EAST MICHIGAN AVENUE,MI,United States,Detroit,48226,985 Michigan Avenue Suite 207,"Michigan, Ohio",Detroit.Outreach@ice.dhs.gov,Detroit Field Office,DET,Detroit - ERO,https://www.ice.gov/contact/field-offices?page=1&exposed_form_display=1,(313) 771-6601,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-08-22 00:00:00,Pass,"Aug. 24-27, 2020","","",https://www.ice.gov/sites/default/files/images/detention/calhomi.jpg,42.3166739,-85.1758915,https://www.openstreetmap.org/?mlat=42.3166739&mlon=-85.1758915,CALHOUN COUNTY CORRECTIONAL CENTER,"","",2026-02-05T05:10:22.000000+0000,"",50.922413793,true,0.362205,18.866142,true,17.598425,138.519685,83.102362,75,9.354331,3.062992,9.377953,153.551181,146.944882,11.84252,8.031496,8.527559,17.598425138.5196850.36220518.866142,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/calhoun-county-correctional-center","",https://en.wikipedia.org/wiki/West_Virginia_Division_of_Corrections_and_Rehabilitation,""
false,CA,United States,California City,"","","",93505,22844 Virginia Boulevard,CA,United States,San Francisco,94111,630 Sansome Street Rm 590,"Northern California, Hawaii, Guam, Saipan",SanFrancisco.Outreach@ice.dhs.gov,San Francisco Field Office,SFR,San Francisco - ERO,https://www.ice.gov/contact/field-offices?page=6&exposed_form_display=1,(415) 365-8800,CDF,Name derived from listing at https://www.vera.org/ice-detention-trends,Contract Detention Facility,PRE-OCC,2025-04-18 00:00:00,Pass,,,,https://www.ice.gov/sites/default/files/2025-08/detFacCalifCity.png,35.1531066,-117.8591019,https://www.openstreetmap.org/way/174547688,CALIFORNIA CITY IMMIGRATION PROCESSING CENTER,"","",2026-02-18T05:12:36.000000+0000,"",48.439071567,true,28.370079,162.385827,true,266.740157,631.291339,346.661417,2560,208.346457,51.677165,74.173228,754.590551,661.448819,95.708661,153.244094,178.385827,266.740157631.29133928.370079162.385827,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/california-city-detention-facility","",https://en.wikipedia.org/wiki/List_of_deaths_in_ICE_detention,""
false,PA,"",EBENSBURG,"","","",15931,425 MANOR DRIVE,PA,United States,Philadelphia,19107,114 North 8th Street,"Delaware, Pennsylvania, West Virginia",Philadelphia.Outreach@ice.dhs.gov,Philadelphia Field Office,PHI,Philadelphia - ERO,https://www.ice.gov/contact/field-offices?page=5&exposed_form_display=1,(215) 656-7164,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,,Scheduled FY26,,,,,"",40.4843966,-78.7012316,https://www.openstreetmap.org/way/544611593,CAMBRIA COUNTY PRISON,"","",,"",5.832258065,false,1.614173,10.685039,true,4.779528,16.503937,19.188976,,5.181102,1.834646,1.566929,25,22.15748,3.488189,4.393701,3.543307,4.77952816.5039371.61417310.685039,https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,"",https://en.wikipedia.org/wiki/Cambria_County_Jail,""
