address.administrative_area,address.country,address.locality,address.postal_code,address.street,field_office.address.administrative_area,field_office.address.country,field_office.address.locality,field_office.address.postal_code,field_office.address.street,field_office.aor,field_office.email,field_office.field_office,field_office.id,field_office.name,field_office.phone,facility_type.id,facility_type.description,facility_type.expanded_name,inspection.last_type,inspection.last_date,inspection.last_rating,image_url,osm.latitude,osm.longitude,osm.url,name,page_updated_date,phone,population.avg_stay_length,population.female.allowed,population.female.criminal,population.female.non_criminal,population.male.allowed,population.male.criminal,population.male.non_criminal,population.housing.mandatory,population.housing.guaranteed_min,population.ice_threat_level.level_1,population.ice_threat_level.level_2,population.ice_threat_level.level_3,population.ice_threat_level.none,population.security_threat.low,population.security_threat.medium_low,population.security_threat.medium_high,population.security_threat.high,population.total,vera_id,wikipedia.page_url,wikidata.page_url
TX,United States,Anson,79501,400 2nd Street,TX,United States,Dallas,75247,8101 N. Stemmons Frwy,"North Texas, Oklahoma",Dallas.Outreach@ice.dhs.gov,Dallas Field Office,DAL,Dallas - ERO,(972) 367-2200,DIGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Intergovernmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,Office of Detention Oversight,2024-12-12 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/bluebonnet.jpg,0,0,"",BLUEBONNET DETENTION FACILITY,2025-08-14T10:00:40.000000+0000,"",26,false,6,85,true,276,661,423,750,95,59,81,793,596,152,191,88,1028,"","",""
KY,United States,Burlington,41005,3020 Conrad Lane,IL,United States,Chicago,60605,101 W Ida B Wells Drive Suite 4000,"Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",Chicago.Outreach@ice.dhs.gov,Chicago Field Office,CHI,Chicago - ERO,(872) 351-3990,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Office of Detention Oversight,2024-11-21 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/booneky.jpg,0,0,"",BOONE COUNTY JAIL,2025-03-21T06:55:49.000000+0000,"",92,true,1,3,true,103,92,105, ,31,31,27,109,79,32,53,35,199,"","",""
KY,"",PARIS,40361,BOURBON CO COURTHOUSE MAIN STREET,IL,United States,Chicago,60605,101 W Ida B Wells Drive Suite 4000,"Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",Chicago.Outreach@ice.dhs.gov,Chicago Field Office,CHI,Chicago - ERO,(872) 351-3990,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement, , , ,"",0,0,"",BOURBON CO DET CENTER,,"",5,true,0,0,true,1,2,2, ,0,0,0,3,1,1,1,0,3,"","",""
NY,United States,Brooklyn,11232,100 29th Street,NY,United States,New York,10278,"26 Federal Plaza 9th Floor, Suite 9-110","The five boroughs (counties of NYC) and the following counties: Duchess, Nassau, Putnam, Suffolk, Sullivan, Orange, Rockland, Ulster, and Westchester",NewYork.Outreach@ice.dhs.gov,New York City Field Office,NYC,New York - ERO,(212) 436-9315,BOP,A facility operated by the Federal Bureau of Prisons,Federal Bureau of Prisons, , , ,https://www.ice.gov/sites/default/files/2025-06/detFacMDC_Brooklyn.jpg,0,0,"",BROOKLYN MDC,2025-07-03T05:38:59.000000+0000,"",24,true,1,0,true,30,77,38, ,4,10,11,84,90,16,1,1,108,"","",""
TX,"",FALFURRIAS,78355,901 COUNTY ROAD 201,TX,United States,Harlingen,78552,1717 Zoy Street,South Texas,Harlingen.Outreach@ice.dhs.gov,Harlingen Field Office,HLG,Harlingen - ERO,(956) 389-7884,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement, , , ,"",0,0,"",BROOKS COUNTY DETENTION CENTER,,"",7,true,0,0,true,1,15,15, ,0,0,0,15,15,1,0,0,16,"","",""
NY,"",BINGHAMPTON,13905,897 FRONT STREET,NY,United States,Buffalo,14202,"250 Delaware Avenue, Floor 7",Upstate New York,Buffalo.Outreach@ice.dhs.gov,Buffalo Field Office,BUF,Buffalo - ERO,(716) 464-5800,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement, , , ,"",0,0,"",BROOME COUNTY JAIL,,"",17,true,0,0,true,3,41,16, ,0,0,1,42,40,2,2,0,44,"","",""
FL,"",FT.LAUDERDALE,33301,555 SE 1ST AVENUE,FL,United States,Miramar,33027,2805 SW 145th Ave,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,Miramar Sub Office,MIA,Miramar - ERO,(954) 843-5800,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement, , , ,"",0,0,"",BROWARD COUNTY JAIL,,"",1,true,0,0,true,0,2,1, ,0,0,0,2,1,0,1,0,2,"","",""
FL,United States,Pompano Beach,33073,3900 NORTH POWERLINE ROAD,FL,United States,Miramar,33027,2805 SW 145th Ave,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,Miramar Sub Office,MIA,Miramar - ERO,(954) 843-5800,CDF,Name derived from listing at https://www.vera.org/ice-detention-trends,Contract Detention Facility,Office of Detention Oversight,2024-12-19 00:00:00,Pass,https://www.ice.gov/assets/pages/detention/facilities/broward.jpg,0,0,"",BROWARD TRANSITIONAL CENTER,2025-10-30T11:21:01.000000+0000,"",17,true,8,92,true,73,494,331,700,8,14,45,600,495,158,13,2,667,"","",""
NY,United States,Batavia,14020,4250 Federal Drive,NY,United States,Buffalo,14202,"250 Delaware Avenue, Floor 7",Upstate New York,Buffalo.Outreach@ice.dhs.gov,Buffalo Field Office,BUF,Buffalo - ERO,(716) 464-5800,SPC,A facility owned by the government and staffed by a combination of federal and contract employees.,Service Processing Center,Office of Detention Oversight,2024-10-31 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/btv.jpg,0,0,"",BUFFALO SERVICE PROCESSING CENTER,2025-09-05T03:44:38.000000+0000,"",27,false,0,0,true,167,520,302,400,73,20,30,565,494,44,71,78,687,"","",""
ND,"",BISMARCK,58502,PO BOX 1416,MN,United States,Fort Snelling,55111,1 Federal Drive Suite 1601,"Iowa, Minnesota, Nebraska, North Dakota, South Dakota",StPaul.Outreach@ice.dhs.gov,St Paul Field Office,SPM,Fort Snelling - ERO,(612) 843-8600,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement, , , ,"",0,0,"",BURLEIGH COUNTY JAIL,,"",14,true,0,0,true,3,9,5, ,0,1,1,10,3,5,3,1,12,"","",""
OH,United States,Hamilton,45011,705 Hanover Street,MI,United States,Detroit,48226,985 Michigan Avenue Suite 207,"Michigan, Ohio",Detroit.Outreach@ice.dhs.gov,Detroit Field Office,DET,Detroit - ERO,(313) 771-6601,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Office of Detention Oversight,,Pass,https://www.ice.gov/sites/default/files/images/detFacButler.png,0,0,"",BUTLER COUNTY JAIL,2025-05-15T03:19:46.000000+0000,"",70,true,4,21,true,66,249,185, ,11,10,25,295,139,144,46,11,340,"","",""
MI,United States,Battle Creek,49014,185 EAST MICHIGAN AVENUE,MI,United States,Detroit,48226,985 Michigan Avenue Suite 207,"Michigan, Ohio",Detroit.Outreach@ice.dhs.gov,Detroit Field Office,DET,Detroit - ERO,(313) 771-6601,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-08-22 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/calhomi.jpg,0,0,"",CALHOUN COUNTY CORRECTIONAL CENTER,2025-03-24T08:20:35.000000+0000,"",68,true,1,16,true,26,111,75,75,11,2,7,134,120,13,12,10,154,"","",""
CA,United States,California City,93505,22844 Virginia Boulevard,CA,United States,San Francisco,94111,630 Sansome Street Rm 590,"Northern California, Hawaii, Guam, Saipan",SanFrancisco.Outreach@ice.dhs.gov,San Francisco Field Office,SFR,San Francisco - ERO,(415) 365-8800,CDF,Name derived from listing at https://www.vera.org/ice-detention-trends,Contract Detention Facility,Pre-Occ,2025-04-18 00:00:00, ,https://www.ice.gov/sites/default/files/2025-08/detFacCalifCity.png,0,0,"",CALIFORNIA CITY IMMIGRATION PROCESSING CENTER,2025-09-05T06:34:54.000000+0000,"",18,true,16,129,true,249,317,311,2560,167,35,41,469,397,56,108,151,711,"","",""
PA,"",EBENSBURG,15931,425 MANOR DRIVE,PA,United States,Philadelphia,19107,114 North 8th Street,"Delaware, Pennsylvania, West Virginia",Philadelphia.Outreach@ice.dhs.gov,Philadelphia Field Office,PHI,Philadelphia - ERO,(215) 656-7164,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,,Pass,"",0,0,"","CAMBRIA COUNTY JAIL, PA",,"", ,false,1,2,true,0,8,3, ,0,0,0,11,9,1,0,1,11,"","",""
KY,United States,Newport,41071,601 CENTRAL AVE,IL,United States,Chicago,60605,101 W Ida B Wells Drive Suite 4000,"Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",Chicago.Outreach@ice.dhs.gov,Chicago Field Office,CHI,Chicago - ERO,(872) 351-3990,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement, , , ,https://www.ice.gov/sites/default/files/images/detFacCampbellCoKY.jpg,0,0,"",CAMPBELL CO DET CTR,2025-05-06T04:21:12.000000+0000,(859) 431-4611,44,true,5,14,true,28,90,69, ,8,10,13,106,94,23,11,8,137,"","",""
VA,United States,Bowling Green,22427,11093 SW LEWIS MEMORIAL DRIVE,VA,United States,Chantilly,20598-5216,14797 Murdock Street Mail Stop 5216,District of Columbia and Virginia,Washington.Outreach@ice.dhs.gov,Washington Field Office,WAS,Chantilly - ERO,(703) 633-2100,DIGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Intergovernmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,Office of Detention Oversight,2025-04-17 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/PCRJBVA_0.jpg,0,0,"",CAROLINE DETENTION FACILITY,2025-02-10T10:46:14.000000+0000,"",41,true,7,7,true,119,219,167,224,61,21,23,248,118,110,65,60,352,"","",""
MT,"",GREAT FALLS,59404,3800 ULM NORTH FRONTAGE ROAD,UT,United States,West Valley City,84119-6096,2975 Decker Lake Drive Suite 100,"Utah, Idaho, Montana, Nevada",SaltLakeCity.Outreach@ice.dhs.gov,Salt Lake City Field Office,SLC,West Valley City - ERO,(801) 736-1200,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Office of Detention Oversight,2023-10-26 00:00:00,Fail,"",0,0,"","CASCADE COUNTY JAIL, MT",,"",6,false,0,0,true,2,2,1, ,0,0,0,4,1,2,0,0,4,"","",""
NE,"",PLATTSMOUTH,68048,336 MAIN STREET,MN,United States,Fort Snelling,55111,1 Federal Drive Suite 1601,"Iowa, Minnesota, Nebraska, North Dakota, South Dakota",StPaul.Outreach@ice.dhs.gov,St Paul Field Office,SPM,Fort Snelling - ERO,(612) 843-8600,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement, , , ,"",0,0,"",CASS COUNTY JAIL,,"",28,true,0,1,true,13,11,15, ,3,3,3,15,8,3,10,4,25,"","",""
AZ,United States,Florence,85232,1100 Bowling Road,AZ,United States,Phoenix,85004,2035 N. Central Avenue,Arizona,Phoenix.Outreach@ice.dhs.gov,Phoenix Field Office,PHO,Phoenix - ERO,(602) 257-5900,USMS CDF,Name derived from listing at https://www.vera.org/ice-detention-trends,United States Marshals Service Contract Detention Facility,Office of Detention Oversight,2024-12-12 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/ccaflaz.jpg,0,0,"","CCA, FLORENCE CORRECTIONAL CENTER",2025-02-10T10:49:24.000000+0000,"",119,false,0,0,true,284,294,302, ,116,44,64,353,184,60,184,150,578,"","",""
LA,United States,Jena,71342,830 PINEHILL ROAD,LA,United States,St. Rose,70087,181 James Drive W,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,St. Rose - ERO,(504) 599-7800,DIGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Intergovernmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,Office of Detention Oversight,2025-01-09 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/jenadla.jpg,0,0,"",CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),2025-02-10T10:54:23.000000+0000,"",56,true,0,1,true,274,834,610,1170,125,57,100,827,563,185,235,126,1109,"","",""
KS,United States,Cottonwood Falls,66845,301 SOUTH WALNUT STREET,IL,United States,Chicago,60605,101 W Ida B Wells Drive Suite 4000,"Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",Chicago.Outreach@ice.dhs.gov,Chicago Field Office,CHI,Chicago - ERO,(872) 351-3990,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2025-03-13 00:00:00,Pass,https://www.ice.gov/assets/pages/detention/facilities/chase.png,0,0,"",CHASE COUNTY JAIL,2025-10-08T05:14:31.000000+0000,"",27,true,2,8,true,37,63,66, ,15,3,13,78,48,18,26,17,110,"","",""
NM,"",ROSWELL,88201,3701 S ATKINSON,TX,United States,El Paso,79936,11541 Montana Ave Suite E,"West Texas, New Mexico",ElPaso.Outreach@ice.dhs.gov,El Paso Field Office,ELP,El Paso - ERO,(915) 225-1901,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Operational Review Self-Assessment,2024-12-04 00:00:00,Pass,"",0,0,"",CHAVEZ DETENTION CENTER,,"",1,true,0,0,true,0,1,1, ,0,0,0,2,0,1,0,0,1,"","",""
MI,United States,SAULT STE MARIE,49783,325 Court Street,MI,United States,Detroit,48226,985 Michigan Avenue Suite 207,"Michigan, Ohio",Detroit.Outreach@ice.dhs.gov,Detroit Field Office,DET,Detroit - ERO,(313) 771-6601,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-04-25 00:00:00,Pass,https://www.ice.gov/assets/pages/detention/facilities/chippewaCoCorrFac.png,0,0,"",CHIPPEWA COUNTY SSM,2025-04-03T08:08:25.000000+0000,"",59,false,0,0,true,8,29,18, ,2,2,2,31,25,4,7,1,37,"","",""
VT,"",SOUTH BURLINGTON,05403,7 FARRELL STREET,MA,United States,Burlington,01803,1000 District Avenue,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",Boston.Outreach@ice.dhs.gov,Boston Field Office,BOS,Burlington - ERO,(781) 359-7500,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Operational Review Self-Assessment,2025-04-24 00:00:00,Pass,"",0,0,"",CHITTENDEN REGIONAL CORRECTIONAL FACILITY,,"",4,true,0,5,true,0,0,2, ,0,0,0,5,5,0,1,0,5,"","",""
KY,United States,Hopkinsville,42240,410 West 7th Street,IL,United States,Chicago,60605,101 W Ida B Wells Drive Suite 4000,"Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",Chicago.Outreach@ice.dhs.gov,Chicago Field Office,CHI,Chicago - ERO,(872) 351-3990,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement, , , ,https://www.ice.gov/sites/default/files/2025-10/detFacChristianCo.jpg,0,0,"",CHRISTIAN COUNTY JAIL,2025-10-08T05:14:35.000000+0000,"",3,true,0,1,true,21,59,29, ,10,6,3,61,43,5,20,13,81,"","",""
NM,United States,Milan,87021,2000 Cibola Loop,TX,United States,El Paso,79936,11541 Montana Ave Suite E,"West Texas, New Mexico",ElPaso.Outreach@ice.dhs.gov,El Paso Field Office,ELP,El Paso - ERO,(915) 225-1901,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2025-02-27 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/cibola.jpg,0,0,"",CIBOLA COUNTY CORRECTIONAL CENTER,2025-09-02T10:02:16.000000+0000,"",20,false,0,0,true,37,178,77, ,12,8,13,181,122,54,27,11,215,"","",""
OK,United States,Cushing,74023,3700 S KINGS HWY,TX,United States,Dallas,75247,8101 N. Stemmons Frwy,"North Texas, Oklahoma",Dallas.Outreach@ice.dhs.gov,Dallas Field Office,DAL,Dallas - ERO,(972) 367-2200,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement, , , ,https://www.ice.gov/sites/default/files/2025-08/detFacCimarron.png,0,0,"",CIMMARRON CORRECTIONAL FACILITY,2025-08-14T10:00:45.000000+0000,"",22,false,0,2,true,186,361,237, ,63,35,43,407,329,61,95,63,549,"","",""
